Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>218</b>,<b><a href='https://tossinvest.com/stocks/CRBG/analytics'>CRBG</a></b>,Corebridge Financial Inc,US,8,42.7%,7,41.0%,9,44.3%,9,45.2%,5,1.4%,Financials,Diversified Financial ...,buy,8.70,18.62B,<span style='color: green;'>2.23%</span>,<span style='color: green;'>3.27%</span>,<span style='color: green;'>9.88%</span>,<span style='color: green;'>18.05%</span>,<span style='color: green;'>32.11%</span>,<span style='color: green;'>11.89%</span>,19.20%,2.97%,9.77%,-3.38%,40.89%,3.32M,0.97
<b>219</b>,<b><a href='https://tossinvest.com/stocks/LAD/analytics'>LAD</a></b>,"Lithia Motors, Inc",US,8,42.7%,6,40.1%,9,47.1%,8,42.4%,5,1.4%,Consumer Discretionary,Specialty Retail,False,12.15,9.61B,<span style='color: red;'>-6.48%</span>,<span style='color: green;'>1.94%</span>,<span style='color: red;'>-2.79%</span>,<span style='color: green;'>26.14%</span>,<span style='color: green;'>24.48%</span>,<span style='color: green;'>0.91%</span>,12.44%,0.58%,5.40%,-11.09%,48.44%,340.17K,1.67
<b>220</b>,<b><a href='https://tossinvest.com/stocks/EBAY/analytics'>EBAY</a></b>,EBay Inc,US,8,42.7%,5,39.7%,9,45.4%,5,39.1%,6,1.2%,Consumer Discretionary,Internet & Direct Mark...,buy,17.54,33.27B,<span style='color: green;'>2.24%</span>,<span style='color: green;'>7.47%</span>,<span style='color: green;'>13.55%</span>,<span style='color: green;'>23.63%</span>,<span style='color: green;'>62.95%</span>,<span style='color: green;'>12.12%</span>,35.85%,1.55%,16.94%,-2.88%,61.65%,4.27M,1.44
<b>221</b>,<b><a href='https://tossinvest.com/stocks/ALSN/analytics'>ALSN</a></b>,Allison Transmission Holdings Inc,US,8,42.7%,6,40.4%,6,40.7%,8,42.9%,5,1.4%,Industrials,Machinery,buy,12.32,8.75B,<span style='color: green;'>2.40%</span>,<span style='color: red;'>-14.74%</span>,<span style='color: red;'>-11.65%</span>,<span style='color: green;'>18.79%</span>,<span style='color: green;'>46.75%</span>,<span style='color: red;'>-5.27%</span>,50.69%,0.97%,18.00%,-16.46%,51.40%,593.96K,0.99
<b>222</b>,<b><a href='https://tossinvest.com/stocks/SPOT/analytics'>SPOT</a></b>,Spotify Technology S.A,LU,8,42.7%,7,41.2%,9,44.9%,7,41.1%,5,1.5%,Communication Services,Entertainment,buy,106.31,127.85B,<span style='color: red;'>-0.60%</span>,<span style='color: green;'>30.62%</span>,<span style='color: green;'>38.94%</span>,<span style='color: green;'>84.74%</span>,<span style='color: green;'>158.59%</span>,<span style='color: green;'>42.33%</span>,28.91%,,15.78%,-2.43%,165.70%,2.41M,1.69
<b>223</b>,<b><a href='https://tossinvest.com/stocks/BCS/analytics'>BCS</a></b>,Barclays plc ADR,GB,8,42.6%,10,51.0%,6,40.9%,7,42.0%,5,1.4%,Financials,Banks,buy,5.47,54.59B,<span style='color: red;'>-1.43%</span>,<span style='color: green;'>1.81%</span>,<span style='color: green;'>14.84%</span>,<span style='color: green;'>26.63%</span>,<span style='color: green;'>103.08%</span>,<span style='color: green;'>14.15%</span>,9.14%,3.04%,3.17%,-3.07%,85.45%,14.29M,1.40
<b>224</b>,<b><a href='https://tossinvest.com/stocks/CEG/analytics'>CEG</a></b>,Constellation Energy Corporation,US,8,42.6%,7,41.4%,9,46.8%,7,41.2%,5,2.2%,Utilities,Electric Utilities,False,26.03,96.80B,<span style='color: red;'>-1.40%</span>,<span style='color: red;'>-4.39%</span>,<span style='color: green;'>37.96%</span>,<span style='color: green;'>60.50%</span>,<span style='color: green;'>135.91%</span>,<span style='color: green;'>38.31%</span>,31.12%,0.51%,17.80%,-12.10%,139.14%,3.74M,0.83
<b>225</b>,<b><a href='https://tossinvest.com/stocks/YMM/analytics'>YMM</a></b>,Full Truck Alliance Co Ltd ADR,CN,8,42.6%,7,41.5%,7,41.0%,6,40.7%,5,1.5%,Industrials,Road & Rail,False,30.57,11.80B,<span style='color: red;'>-0.24%</span>,<span style='color: green;'>10.86%</span>,<span style='color: green;'>50.96%</span>,<span style='color: green;'>64.18%</span>,<span style='color: green;'>93.53%</span>,<span style='color: green;'>16.08%</span>,8.57%,0.82%,8.28%,-3.61%,120.35%,9.02M,0.26
<b>226</b>,<b><a href='https://tossinvest.com/stocks/CLS/analytics'>CLS</a></b>,"Celestica, Inc",CA,8,42.6%,6,40.7%,6,39.7%,9,44.4%,4,2.6%,Information Technology,"Electronic Equipment, ...",buy,33.33,14.55B,<span style='color: red;'>-3.33%</span>,<span style='color: green;'>5.86%</span>,<span style='color: green;'>52.13%</span>,<span style='color: green;'>130.83%</span>,<span style='color: green;'>216.27%</span>,<span style='color: green;'>35.45%</span>,24.27%,,16.68%,-13.34%,246.22%,3.50M,2.19
<b>227</b>,<b><a href='https://tossinvest.com/stocks/SSNC/analytics'>SSNC</a></b>,SS&C Technologies Holdings Inc,US,8,42.6%,6,40.4%,6,40.6%,8,42.9%,6,0.9%,Information Technology,IT Services,buy,29.68,22.08B,<span style='color: green;'>1.18%</span>,<span style='color: green;'>10.90%</span>,<span style='color: green;'>21.82%</span>,<span style='color: green;'>22.45%</span>,<span style='color: green;'>42.47%</span>,<span style='color: green;'>17.62%</span>,11.81%,1.11%,5.55%,-0.13%,49.47%,1.29M,1.39
<b>228</b>,<b><a href='https://tossinvest.com/stocks/GFL/analytics'>GFL</a></b>,GFL Environmental Inc,CA,8,42.5%,5,39.4%,9,45.9%,6,39.9%,6,1.0%,Industrials,Commercial Services & ...,buy,,18.18B,<span style='color: green;'>0.63%</span>,<span style='color: green;'>10.76%</span>,<span style='color: green;'>5.02%</span>,<span style='color: green;'>11.24%</span>,<span style='color: green;'>24.99%</span>,<span style='color: green;'>3.75%</span>,-8.26%,0.10%,-3.85%,-5.44%,51.19%,1.43M,1.17
<b>229</b>,<b><a href='https://tossinvest.com/stocks/ALNY/analytics'>ALNY</a></b>,Alnylam Pharmaceuticals Inc,US,8,42.5%,6,40.0%,9,46.1%,8,42.5%,5,1.6%,Health Care,Biotechnology,False,,32.49B,<span style='color: red;'>-5.62%</span>,<span style='color: red;'>-5.28%</span>,<span style='color: green;'>6.55%</span>,<span style='color: red;'>-8.55%</span>,<span style='color: green;'>70.75%</span>,<span style='color: green;'>6.67%</span>,,,-10.47%,-17.54%,76.79%,663.50K,0.37
<b>230</b>,<b><a href='https://tossinvest.com/stocks/BRO/analytics'>BRO</a></b>,"Brown & Brown, Inc",US,8,42.5%,6,40.7%,9,44.1%,9,44.1%,6,0.8%,Financials,Insurance,buy,32.26,31.92B,<span style='color: green;'>2.16%</span>,<span style='color: green;'>5.64%</span>,<span style='color: green;'>1.45%</span>,<span style='color: green;'>9.05%</span>,<span style='color: green;'>35.59%</span>,<span style='color: green;'>9.44%</span>,16.35%,0.55%,9.61%,-2.19%,38.99%,1.40M,0.88
<b>231</b>,<b><a href='https://tossinvest.com/stocks/FUTU/analytics'>FUTU</a></b>,Futu Holdings Ltd ADR,HK,8,42.5%,6,40.3%,5,38.9%,6,39.8%,4,2.2%,Financials,Capital Markets,buy,29.58,11.27B,<span style='color: green;'>4.13%</span>,<span style='color: green;'>32.04%</span>,<span style='color: green;'>35.37%</span>,<span style='color: green;'>92.88%</span>,<span style='color: green;'>130.64%</span>,<span style='color: green;'>50.76%</span>,17.09%,0.75%,15.45%,-5.41%,151.03%,2.38M,0.79
<b>232</b>,<b><a href='https://tossinvest.com/stocks/SPG/analytics'>SPG</a></b>,"Simon Property Group, Inc",US,8,42.5%,7,41.1%,7,41.6%,7,41.0%,6,1.0%,Real Estate,Equity Real Estate Inv...,False,24.74,70.10B,<span style='color: green;'>1.54%</span>,<span style='color: green;'>6.11%</span>,<span style='color: green;'>3.57%</span>,<span style='color: green;'>16.77%</span>,<span style='color: green;'>24.51%</span>,<span style='color: green;'>8.42%</span>,79.50%,4.56%,8.88%,-0.76%,34.11%,1.44M,1.82
<b>233</b>,<b><a href='https://tossinvest.com/stocks/HLT/analytics'>HLT</a></b>,Hilton Worldwide Holdings Inc,US,8,42.5%,6,40.7%,9,44.3%,7,42.0%,6,0.8%,Consumer Discretionary,"Hotels, Restaurants & ...",buy,43.59,64.43B,<span style='color: red;'>-2.06%</span>,<span style='color: green;'>8.21%</span>,<span style='color: green;'>7.81%</span>,<span style='color: green;'>24.99%</span>,<span style='color: green;'>35.93%</span>,<span style='color: green;'>8.35%</span>,,0.27%,18.53%,-2.69%,38.15%,1.43M,1.30
<b>234</b>,<b><a href='https://tossinvest.com/stocks/BAP/analytics'>BAP</a></b>,Credicorp Ltd,PE,8,42.5%,9,45.3%,9,46.0%,9,44.7%,6,1.0%,Financials,Banks,buy,10.04,14.71B,<span style='color: green;'>0.08%</span>,<span style='color: green;'>1.18%</span>,<span style='color: red;'>-3.86%</span>,<span style='color: green;'>9.36%</span>,<span style='color: green;'>8.64%</span>,<span style='color: green;'>0.87%</span>,16.36%,5.89%,10.35%,-7.54%,22.64%,277.40K,1.06
<b>235</b>,<b><a href='https://tossinvest.com/stocks/SWK/analytics'>SWK</a></b>,Stanley Black & Decker Inc,US,8,42.4%,5,39.5%,6,40.1%,9,43.5%,6,1.2%,Industrials,Machinery,False,47.64,13.89B,<span style='color: green;'>5.43%</span>,<span style='color: green;'>3.82%</span>,<span style='color: green;'>6.21%</span>,<span style='color: red;'>-6.01%</span>,<span style='color: green;'>4.48%</span>,<span style='color: green;'>12.01%</span>,3.22%,3.54%,1.95%,-18.89%,15.74%,1.75M,1.26
<b>236</b>,<b><a href='https://tossinvest.com/stocks/REGN/analytics'>REGN</a></b>,"Regeneron Pharmaceuticals, Inc",US,8,42.4%,6,40.6%,5,39.6%,7,41.5%,6,1.2%,Health Care,Biotechnology,False,18.18,76.09B,<span style='color: green;'>4.84%</span>,<span style='color: green;'>1.20%</span>,<span style='color: red;'>-8.03%</span>,<span style='color: red;'>-41.85%</span>,<span style='color: red;'>-26.58%</span>,<span style='color: red;'>-2.29%</span>,15.95%,0.41%,13.68%,-42.53%,8.41%,896.14K,0.27
<b>237</b>,<b><a href='https://tossinvest.com/stocks/KEY/analytics'>KEY</a></b>,Keycorp,US,8,42.4%,7,41.2%,7,41.5%,9,46.8%,4,2.2%,Financials,Banks,False,,19.46B,<span style='color: red;'>-0.11%</span>,<span style='color: red;'>-0.34%</span>,<span style='color: red;'>-7.25%</span>,<span style='color: green;'>7.73%</span>,<span style='color: green;'>31.62%</span>,<span style='color: green;'>2.57%</span>,-0.99%,4.71%,-1.00%,-12.27%,34.15%,10.97M,1.25
<b>238</b>,<b><a href='https://tossinvest.com/stocks/KLAC/analytics'>KLAC</a></b>,KLA Corp,US,8,42.4%,6,40.9%,9,44.4%,8,42.6%,5,1.8%,Information Technology,Semiconductors & Semic...,buy,32.70,103.34B,<span style='color: green;'>3.61%</span>,<span style='color: green;'>1.35%</span>,<span style='color: green;'>26.90%</span>,<span style='color: red;'>-4.96%</span>,<span style='color: green;'>18.34%</span>,<span style='color: green;'>23.41%</span>,96.81%,0.82%,33.36%,-13.24%,27.61%,1.13M,1.28
<b>239</b>,<b><a href='https://tossinvest.com/stocks/TRV/analytics'>TRV</a></b>,Travelers Companies Inc,US,8,42.4%,8,43.1%,9,45.1%,9,44.5%,6,1.0%,Financials,Insurance,False,11.24,54.70B,<span style='color: green;'>0.24%</span>,<span style='color: green;'>0.87%</span>,<span style='color: red;'>-7.11%</span>,<span style='color: green;'>11.13%</span>,<span style='color: green;'>12.92%</span>,<span style='color: green;'>0.15%</span>,18.94%,1.79%,13.78%,-10.50%,20.49%,1.34M,0.63
<b>240</b>,<b><a href='https://tossinvest.com/stocks/BROS/analytics'>BROS</a></b>,Dutch Bros Inc,US,8,42.4%,6,41.0%,5,39.2%,6,40.7%,5,2.1%,Consumer Discretionary,"Hotels, Restaurants & ...",False,238.95,12.72B,<span style='color: green;'>26.77%</span>,<span style='color: green;'>36.63%</span>,<span style='color: green;'>75.99%</span>,<span style='color: green;'>161.58%</span>,<span style='color: green;'>199.38%</span>,<span style='color: green;'>56.61%</span>,7.82%,,2.46%,-5.58%,211.01%,2.58M,2.77
<b>241</b>,<b><a href='https://tossinvest.com/stocks/FOUR/analytics'>FOUR</a></b>,Shift4 Payments Inc,US,8,42.4%,7,41.8%,5,39.1%,8,42.8%,5,2.1%,Information Technology,IT Services,buy,32.21,8.91B,<span style='color: red;'>-15.35%</span>,<span style='color: red;'>-14.85%</span>,<span style='color: green;'>1.94%</span>,<span style='color: green;'>21.08%</span>,<span style='color: green;'>27.62%</span>,<span style='color: red;'>-4.71%</span>,31.40%,,7.67%,-22.44%,77.00%,1.69M,1.72
<b>242</b>,<b><a href='https://tossinvest.com/stocks/TPR/analytics'>TPR</a></b>,Tapestry Inc,US,8,42.4%,7,41.7%,6,39.7%,6,40.2%,5,1.3%,Consumer Discretionary,"Textiles, Apparel & Lu...",False,25.11,17.91B,<span style='color: green;'>1.63%</span>,<span style='color: green;'>16.84%</span>,<span style='color: green;'>51.18%</span>,<span style='color: green;'>113.21%</span>,<span style='color: green;'>88.46%</span>,<span style='color: green;'>32.44%</span>,39.82%,1.61%,16.39%,-4.77%,145.59%,5.20M,1.64
<b>243</b>,<b><a href='https://tossinvest.com/stocks/ERIC/analytics'>ERIC</a></b>,Telefonaktiebolaget L M Ericsson...,SE,8,42.4%,6,40.9%,6,40.0%,6,40.6%,5,1.6%,Information Technology,Communications Equipment,False,2225.00,24.60B,<span style='color: green;'>2.30%</span>,<span style='color: red;'>-8.14%</span>,<span style='color: green;'>0.50%</span>,<span style='color: green;'>13.38%</span>,<span style='color: green;'>57.00%</span>,<span style='color: red;'>-0.62%</span>,0.15%,3.37%,0.12%,-10.00%,67.92%,15.96M,0.85
<b>244</b>,<b><a href='https://tossinvest.com/stocks/ALTR/analytics'>ALTR</a></b>,Altair Engineering Inc,US,8,42.4%,6,40.8%,5,39.5%,7,41.1%,5,1.3%,Information Technology,Software,buy,297.52,9.56B,<span style='color: green;'>1.26%</span>,<span style='color: green;'>1.05%</span>,<span style='color: green;'>7.74%</span>,<span style='color: green;'>21.25%</span>,<span style='color: green;'>23.55%</span>,<span style='color: green;'>2.45%</span>,4.47%,,3.02%,-1.18%,47.64%,767.43K,1.45
<b>245</b>,<b><a href='https://tossinvest.com/stocks/COST/analytics'>COST</a></b>,Costco Wholesale Corp,US,8,42.4%,7,41.1%,9,44.9%,8,43.3%,6,0.8%,Consumer Staples,Food & Staples Retailing,buy,60.77,459.36B,<span style='color: red;'>-2.84%</span>,<span style='color: green;'>9.19%</span>,<span style='color: green;'>14.08%</span>,<span style='color: green;'>18.78%</span>,<span style='color: green;'>43.56%</span>,<span style='color: green;'>12.94%</span>,29.95%,0.46%,23.32%,-4.03%,48.41%,1.98M,0.83
<b>246</b>,<b><a href='https://tossinvest.com/stocks/USFD/analytics'>USFD</a></b>,US Foods Holding Corp,US,8,42.4%,6,39.9%,9,44.9%,8,43.4%,6,1.0%,Consumer Staples,Food & Staples Retailing,buy,35.55,16.51B,<span style='color: green;'>2.49%</span>,<span style='color: green;'>3.63%</span>,<span style='color: green;'>10.79%</span>,<span style='color: green;'>24.03%</span>,<span style='color: green;'>44.51%</span>,<span style='color: green;'>6.21%</span>,10.65%,,5.15%,-1.85%,44.34%,1.98M,1.66
<b>247</b>,<b><a href='https://tossinvest.com/stocks/GMED/analytics'>GMED</a></b>,Globus Medical Inc,US,8,42.4%,6,40.4%,9,45.2%,7,41.2%,6,1.1%,Health Care,Health Care Equipment ...,buy,126.90,11.45B,<span style='color: green;'>0.13%</span>,<span style='color: red;'>-8.97%</span>,<span style='color: green;'>3.72%</span>,<span style='color: green;'>20.15%</span>,<span style='color: green;'>56.30%</span>,<span style='color: green;'>1.70%</span>,2.22%,,2.20%,-11.39%,70.53%,1.07M,1.16
<b>248</b>,<b><a href='https://tossinvest.com/stocks/CNA/analytics'>CNA</a></b>,CNA Financial Corp,US,8,42.4%,6,39.8%,9,44.4%,7,42.0%,6,0.8%,Financials,Insurance,False,14.13,13.46B,<span style='color: green;'>2.20%</span>,<span style='color: green;'>1.80%</span>,<span style='color: green;'>2.32%</span>,<span style='color: green;'>0.47%</span>,<span style='color: green;'>14.91%</span>,<span style='color: green;'>2.71%</span>,9.40%,7.75%,7.01%,-3.23%,22.36%,271.81K,0.67
<b>249</b>,<b><a href='https://tossinvest.com/stocks/RGEN/analytics'>RGEN</a></b>,Repligen Corp,US,8,42.3%,6,40.1%,6,40.4%,7,41.8%,5,1.9%,Health Care,Life Sciences Tools & ...,buy,,9.11B,<span style='color: green;'>11.63%</span>,<span style='color: red;'>-3.13%</span>,<span style='color: green;'>30.42%</span>,<span style='color: green;'>5.75%</span>,<span style='color: red;'>-21.95%</span>,<span style='color: green;'>13.01%</span>,-1.30%,,-0.94%,-21.74%,43.32%,533.23K,0.94
<b>250</b>,<b><a href='https://tossinvest.com/stocks/LTM/analytics'>LTM</a></b>,LATAM Airlines Group S.A. ADR,US,8,42.3%,7,41.0%,6,40.4%,6,40.6%,6,0.9%,,-,False,10.10,9.89B,<span style='color: green;'>2.09%</span>,<span style='color: green;'>18.59%</span>,<span style='color: green;'>17.99%</span>,<span style='color: green;'>34.47%</span>,<span style='color: green;'>919.63%</span>,<span style='color: green;'>18.67%</span>,166.51%,2.76%,13.50%,-97.38%,49.93%,218.26K,3.63
<b>251</b>,<b><a href='https://tossinvest.com/stocks/DLR/analytics'>DLR</a></b>,Digital Realty Trust Inc,US,8,42.3%,5,39.3%,9,44.8%,6,40.5%,6,1.3%,Real Estate,Equity Real Estate Inv...,buy,105.97,57.90B,<span style='color: green;'>5.38%</span>,<span style='color: red;'>-6.30%</span>,<span style='color: red;'>-3.64%</span>,<span style='color: green;'>17.39%</span>,<span style='color: green;'>30.22%</span>,<span style='color: red;'>-3.01%</span>,2.98%,2.90%,1.43%,-13.13%,30.88%,2.15M,0.67
<b>252</b>,<b><a href='https://tossinvest.com/stocks/DT/analytics'>DT</a></b>,Dynatrace Inc,US,8,42.3%,7,41.8%,9,44.3%,7,41.4%,5,1.4%,Information Technology,Software,buy,38.46,18.33B,<span style='color: red;'>-1.89%</span>,<span style='color: green;'>15.07%</span>,<span style='color: green;'>16.98%</span>,<span style='color: green;'>22.65%</span>,<span style='color: green;'>19.87%</span>,<span style='color: green;'>12.68%</span>,21.59%,,18.45%,-2.79%,55.35%,3.33M,1.12
<b>253</b>,<b><a href='https://tossinvest.com/stocks/SAN/analytics'>SAN</a></b>,Banco Santander S.A. ADR,ES,8,42.3%,9,44.7%,5,38.3%,5,37.9%,6,1.3%,Financials,Banks,buy,7.10,91.28B,<span style='color: green;'>1.34%</span>,<span style='color: green;'>21.82%</span>,<span style='color: green;'>25.10%</span>,<span style='color: green;'>29.59%</span>,<span style='color: green;'>60.53%</span>,<span style='color: green;'>32.24%</span>,13.16%,4.11%,2.26%,-2.58%,49.44%,3.48M,1.14
<b>254</b>,<b><a href='https://tossinvest.com/stocks/CRDO/analytics'>CRDO</a></b>,Credo Technology Group Holding Ltd,KY,8,42.3%,6,40.4%,5,39.2%,7,41.4%,4,2.9%,Information Technology,Semiconductors & Semic...,False,,11.92B,<span style='color: red;'>-0.10%</span>,<span style='color: red;'>-12.56%</span>,<span style='color: green;'>79.28%</span>,<span style='color: green;'>124.22%</span>,<span style='color: green;'>219.64%</span>,<span style='color: green;'>6.06%</span>,-5.19%,,-4.10%,-17.78%,323.78%,4.84M,2.09
<b>255</b>,<b><a href='https://tossinvest.com/stocks/AAL/analytics'>AAL</a></b>,American Airlines Group Inc,US,8,42.3%,6,40.1%,5,39.4%,6,40.1%,5,1.7%,Industrials,Airlines,False,14.00,10.42B,<span style='color: red;'>-2.46%</span>,<span style='color: red;'>-14.91%</span>,<span style='color: green;'>10.22%</span>,<span style='color: green;'>53.83%</span>,<span style='color: green;'>8.33%</span>,<span style='color: red;'>-9.01%</span>,,,3.08%,-16.96%,74.86%,28.38M,1.25
<b>256</b>,<b><a href='https://tossinvest.com/stocks/UBS/analytics'>UBS</a></b>,UBS Group AG,CH,8,42.3%,9,44.2%,7,41.3%,7,42.1%,6,1.2%,Financials,Capital Markets,buy,22.12,106.79B,<span style='color: green;'>1.48%</span>,<span style='color: red;'>-4.50%</span>,<span style='color: green;'>5.98%</span>,<span style='color: green;'>10.05%</span>,<span style='color: green;'>21.19%</span>,<span style='color: green;'>10.55%</span>,5.94%,2.91%,1.19%,-6.47%,28.90%,1.72M,1.15
<b>257</b>,<b><a href='https://tossinvest.com/stocks/O/analytics'>O</a></b>,Realty Income Corp,US,8,42.3%,5,37.5%,6,40.5%,5,39.5%,6,0.8%,Real Estate,Equity Real Estate Inv...,False,53.78,49.47B,<span style='color: green;'>4.53%</span>,<span style='color: green;'>2.28%</span>,<span style='color: green;'>0.43%</span>,<span style='color: red;'>-5.49%</span>,<span style='color: green;'>12.58%</span>,<span style='color: green;'>5.82%</span>,2.51%,5.54%,1.30%,-12.65%,12.84%,4.85M,1.02
<b>258</b>,<b><a href='https://tossinvest.com/stocks/NTNX/analytics'>NTNX</a></b>,Nutanix Inc,US,8,42.3%,7,41.4%,9,44.1%,9,44.2%,5,1.9%,Information Technology,Software,buy,,19.31B,<span style='color: green;'>2.58%</span>,<span style='color: green;'>10.16%</span>,<span style='color: green;'>3.68%</span>,<span style='color: green;'>38.61%</span>,<span style='color: green;'>23.57%</span>,<span style='color: green;'>17.83%</span>,,,,-4.89%,66.30%,2.62M,1.06
